max_lnl_var2_256,max_lnl_var2_512,max_lnl_var2_1024,max_lnl_vma1_256,max_lnl_vma1_512,max_lnl_vma1_1024
-152.43544,-334.8733,-694.13446,-296.4087,-538.8927,-1211.0452
-84.05994,-192.00464,-379.28204,-254.55063,-422.1715,-1011.2702
-59.68698,-152.9255,-303.93793,-246.28201,-408.9943,-996.1241
-49.43257,-128.23859,-261.74103,-231.34206,-394.39508,-932.1637
-24.123291,-102.519226,-220.05151,-230.49821,-390.9679,-928.80865
-23.588776,-98.25754,-203.58295,-221.60912,-386.94037,-898.1547
-24.086731,-97.700714,-188.4726,-220.78076,-387.35974,-896.31824
-21.427902,-93.446625,-183.59424,-213.33289,-384.6175,-892.8992
-20.545029,-90.35126,-182.32104,-207.5674,-384.3944,-894.1877
-18.040634,-87.95477,-180.90033,-206.90918,-380.49417,-884.606
-16.963394,-87.24982,-175.05615,-204.22385,-378.89545,-884.0786
-15.992676,-86.36163,-172.77344,-211.17534,-379.43005,-879.6891
-15.070496,-84.26184,-169.409,-202.08304,-378.19687,-877.89136
-14.4086,-74.571625,-168.4707,-200.79651,-371.80182,-876.0266
-13.587616,-69.338684,-164.02112,-205.6278,-379.77432,-875.7823
-12.327118,-68.45856,-162.83374,-203.48479,-369.9649,-870.85516
-11.449738,-66.5986,-162.4212,-195.2818,-370.95114,-867.59357
-8.990662,-63.500366,-157.91754,-194.18341,-364.95456,-867.77264
-5.978531,-60.233795,-157.07239,-191.35103,-362.09772,-867.2058
3.5397034,-58.58908,-155.3523,-186.74652,-360.61533,-864.87427
7.198059,-55.598877,-153.75946,-182.57883,-355.16144,-864.7144
7.9623413,-54.330902,-153.30707,-183.3663,-354.83444,-859.8773
12.2252655,-53.649475,-151.00507,-180.07327,-351.10135,-859.7599
17.592773,-51.89084,-148.71332,-172.24223,-349.3318,-860.8091
17.998993,-49.888,-144.8374,-165.5693,-347.25275,-858.8539
24.496796,-47.65329,-141.07037,-162.69687,-348.7652,-855.8622
28.79329,-46.415466,-138.78601,-157.9769,-343.0404,-853.71265
30.024445,-46.063477,-137.39777,-150.97784,-343.9364,-848.63043
35.94565,-43.293396,-133.68213,-149.26804,-342.82495,-847.621
37.397842,-41.694214,-130.22675,-148.16075,-338.76062,-847.1505
41.22354,-37.484467,-126.09326,-144.70096,-338.15585,-846.55035
48.57617,-32.04895,-121.38629,-142.25131,-332.98727,-844.1819
53.778687,-25.331604,-115.49005,-138.50328,-329.3569,-843.11
54.469147,-22.124481,-113.19281,-136.43497,-326.83264,-843.2081
56.998245,-22.285614,-112.076416,-130.45596,-325.13675,-839.91754
58.542526,-21.160492,-110.871216,-134.80838,-323.8067,-838.2742
59.895493,-16.446991,-109.12732,-133.96924,-326.8849,-832.4027
64.10361,-14.148224,-108.55463,-122.74161,-319.19797,-831.82263
63.446014,-12.675018,-106.249695,-136.22209,-319.41846,-830.9481
72.37271,-6.344055,-102.29474,-113.28467,-316.0207,-827.75055
75.58118,-5.785095,-101.07977,-112.14499,-310.45746,-826.6836
74.902954,1.3236694,-98.47357,-107.60353,-307.24847,-825.30035
58.173126,0.9010925,-98.18292,-152.33055,-308.12866,-823.5148
108.11577,3.7763672,-95.59137,-98.695755,-306.42188,-822.12775
109.36325,6.003845,-93.79181,-83.40718,-310.72644,-819.7495
111.672806,5.2717896,-92.47803,-76.999664,-299.5404,-813.81506
131.96956,8.130066,-91.813416,-71.230606,-292.01923,-811.9999
156.27843,10.159851,-87.3324,-70.31099,-290.58765,-806.10583
152.6229,10.043457,-85.332825,-53.77281,-289.8326,-798.4501
141.26727,13.346802,-81.50549,-39.679886,-285.8887,-798.9512
177.11584,14.457336,-79.53198,-50.747757,-285.52548,-797.59863
234.68988,17.01947,-76.323425,-30.299667,-278.81796,-796.9666
246.8605,16.595093,-75.59595,4.984192,-278.9032,-796.3584
225.33188,25.846313,-71.688354,-6.93573,-279.63885,-794.34235
249.33244,26.242004,-68.138916,33.605347,-276.71616,-793.5403
274.7968,22.145203,-65.150085,41.235992,-271.4356,-793.9716
254.97548,32.885406,-64.7655,18.133698,-268.09247,-790.26544
263.9245,32.89264,-64.149536,54.546936,-263.7671,-789.68097
379.1222,11.466919,-59.679688,82.80084,-274.17828,-788.7104
287.27234,37.297607,-59.223694,71.17239,-260.4136,-788.1498
252.43762,40.00235,-56.55768,139.79642,-251.35773,-789.95264
350.85532,42.432373,-55.634033,191.76639,-251.422,-781.28766
341.05328,43.0914,-54.354614,193.9545,-256.63855,-776.1225
378.36237,49.26996,-53.462036,247.63321,-247.31384,-778.2096
357.34003,53.685852,-52.981018,224.86845,-239.11191,-772.88104
411.483,55.647156,-50.71875,279.2739,-236.18805,-771.63403
459.79654,62.23535,-43.18982,52.743103,-230.2786,-770.9425
466.12778,64.18347,-42.812927,289.27,-230.97934,-766.381
452.03076,70.72702,-40.74591,313.1131,-263.98517,-763.0151
189.68262,77.81543,-39.208496,315.42896,-235.00085,-784.4749
