log_lik_chunk_1,log_lik_chunk_2,log_lik_chunk_4,log_lik_chunk_8,log_lik_chunk_16,log_lik_chunk_32,log_lik_chunk_64,log_lik_chunk_128
-178514.67,-178512.81,-178528.38,-178531.47,-178558.06,-178598.88,-178658.16,-178794.06
-177486.53,-177491.8,-177496.4,-177503.03,-177503.75,-177520.97,-177558.81,-177639.97
-179293.6,-179293.61,-179296.5,-179318.34,-179333.58,-179356.25,-179397.48,-179483.78
-178279.97,-178278.69,-178281.94,-178280.19,-178285.17,-178304.69,-178341.53,-178429.45
-178139.97,-178138.5,-178143.88,-178143.12,-178148.69,-178182.84,-178254.19,-178340.16
-179469.4,-179475.52,-179482.84,-179503.62,-179522.78,-179544.81,-179594.69,-179665.44
-178078.72,-178078.67,-178080.7,-178088.06,-178089.25,-178116.06,-178191.94,-178299.33
-178755.72,-178758.97,-178766.89,-178772.83,-178785.31,-178801.94,-178897.69,-179004.38
-178061.56,-178061.22,-178060.8,-178060.27,-178066.12,-178097.16,-178141.38,-178235.47
-177089.31,-177091.81,-177101.53,-177107.22,-177122.88,-177147.83,-177204.34,-177289.25
-177872.6,-177876.22,-177877.22,-177882.12,-177898.2,-177931.8,-177965.0,-178092.77
-177830.62,-177831.06,-177830.84,-177839.6,-177846.88,-177861.66,-177925.16,-178046.62
-178813.12,-178813.5,-178815.66,-178827.53,-178848.28,-178861.75,-178916.16,-179029.98
-178294.38,-178302.19,-178302.56,-178302.25,-178321.72,-178337.7,-178376.12,-178513.47
-178082.69,-178082.78,-178092.61,-178105.4,-178113.62,-178112.75,-178174.66,-178275.72
-177896.5,-177896.94,-177908.23,-177909.9,-177916.89,-177940.44,-177982.78,-178078.1
-177827.38,-177827.44,-177828.62,-177833.72,-177844.25,-177903.53,-177963.75,-178068.78
-179124.89,-179127.22,-179127.89,-179147.62,-179178.12,-179182.22,-179208.22,-179290.4
-178463.69,-178463.72,-178463.56,-178482.44,-178494.53,-178513.17,-178566.25,-178688.4
-177347.38,-177351.47,-177351.39,-177355.05,-177387.78,-177400.72,-177481.56,-177576.9
-179005.44,-179004.78,-179013.6,-179018.39,-179058.47,-179069.19,-179107.78,-179136.97
-176632.69,-176633.84,-176636.02,-176640.06,-176665.0,-176693.38,-176711.83,-176795.97
-176944.06,-176944.81,-176944.62,-176945.45,-176950.55,-176967.72,-177024.47,-177164.89
-178028.6,-178029.36,-178034.22,-178039.84,-178049.34,-178058.5,-178099.16,-178238.9
-178497.61,-178497.66,-178502.81,-178517.14,-178553.5,-178572.66,-178621.84,-178726.81
-178162.72,-178166.42,-178173.1,-178177.92,-178182.27,-178216.72,-178269.47,-178345.38
-179260.88,-179260.97,-179262.22,-179262.31,-179276.6,-179297.14,-179352.28,-179432.0
-179996.25,-179996.39,-179999.34,-180014.8,-180030.03,-180045.95,-180082.14,-180161.5
-177956.83,-177956.47,-177955.44,-177975.44,-178006.75,-178021.28,-178059.25,-178159.25
-179303.78,-179304.72,-179304.03,-179310.12,-179325.23,-179354.72,-179403.3,-179501.38
-179115.69,-179110.62,-179114.16,-179125.88,-179141.78,-179172.03,-179247.47,-179419.12
-178933.8,-178934.6,-178938.48,-178949.95,-178970.97,-178999.6,-179045.88,-179169.44
-178829.55,-178829.12,-178834.69,-178840.75,-178871.1,-178904.55,-178938.44,-179007.66
-178698.31,-178703.22,-178701.88,-178699.03,-178712.81,-178764.56,-178792.58,-178869.98
-179658.47,-179662.0,-179672.6,-179678.27,-179698.38,-179716.53,-179780.97,-179933.44
-178247.22,-178247.69,-178247.97,-178266.56,-178280.75,-178321.44,-178341.72,-178408.4
-177220.7,-177221.16,-177237.98,-177243.1,-177266.45,-177303.14,-177387.53,-177506.75
-178758.75,-178764.25,-178768.78,-178781.88,-178783.16,-178811.2,-178882.78,-178982.83
-177267.47,-177269.56,-177270.16,-177272.4,-177281.94,-177312.66,-177375.83,-177478.62
-179281.56,-179281.19,-179282.56,-179307.75,-179322.78,-179337.78,-179381.69,-179493.4
-177795.34,-177794.78,-177794.05,-177815.69,-177825.31,-177855.97,-177901.75,-177974.94
-178573.06,-178572.6,-178572.97,-178577.48,-178594.47,-178636.66,-178695.47,-178833.94
-178571.47,-178570.9,-178570.06,-178571.56,-178573.97,-178586.28,-178650.81,-178736.34
-178603.77,-178605.88,-178609.1,-178608.6,-178616.56,-178656.3,-178698.1,-178795.19
-178693.16,-178693.84,-178698.94,-178714.25,-178723.06,-178759.33,-178798.52,-178919.98
-178641.56,-178639.25,-178639.25,-178642.69,-178648.69,-178693.81,-178728.53,-178819.2
-178434.06,-178433.8,-178441.1,-178442.16,-178446.22,-178469.44,-178514.45,-178680.7
-178792.86,-178795.94,-178799.19,-178823.95,-178845.72,-178878.28,-178938.03,-179030.33
-178585.38,-178588.98,-178591.66,-178592.69,-178611.53,-178640.03,-178696.97,-178792.94
-177562.77,-177563.81,-177569.34,-177588.19,-177596.5,-177612.33,-177649.05,-177756.16
